Format Version,1.23,Take Name,Take 2024-07-17 09.12.15 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-17 09.12.15.319 AM,Total Frames in Take,11539,Total Exported Frames,11539,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.023043,-0.999286,0.004426,0.029620,-1.424464,0.229415,-0.102270
1,0.008333,0.023015,-0.999289,0.004397,0.029539,-1.424489,0.229433,-0.102280
2,0.016667,0.022974,-0.999289,0.004402,0.029585,-1.424465,0.229414,-0.102285
3,0.025000,0.022982,-0.999289,0.004462,0.029565,-1.424440,0.229421,-0.102301
4,0.033333,0.022995,-0.999290,0.004436,0.029529,-1.424435,0.229419,-0.102287
5,0.041667,0.022990,-0.999290,0.004386,0.029538,-1.424437,0.229436,-0.102280
6,0.050000,0.023013,-0.999289,0.004457,0.029543,-1.424445,0.229407,-0.102284
7,0.058333,0.022963,-0.999289,0.004429,0.029583,-1.424440,0.229413,-0.102267
8,0.066667,0.022971,-0.999288,0.004529,0.029588,-1.424462,0.229401,-0.102268
9,0.075000,0.023004,-0.999287,0.004484,0.029610,-1.424442,0.229422,-0.102282
10,0.083333,0.022993,-0.999288,0.004421,0.029580,-1.424453,0.229421,-0.102263
11,0.091667,0.022990,-0.999287,0.004431,0.029629,-1.424462,0.229429,-0.102271
12,0.100000,,,,,,,
13,0.108333,,,,,,,
14,0.116667,,,,,,,
15,0.125000,,,,,,,
16,0.133333,,,,,,,
17,0.141667,0.022958,-0.999289,0.004377,0.029572,-1.424453,0.229426,-0.102292
18,0.150000,0.023006,-0.999288,0.004453,0.029566,-1.424454,0.229431,-0.102288
19,0.158333,0.022988,-0.999289,0.004600,0.029525,-1.424454,0.229433,-0.102269
20,0.166667,,,,,,,
21,0.175000,0.023019,-0.999288,0.004658,0.029533,-1.424462,0.229431,-0.102262
22,0.183333,0.022928,-0.999289,0.004483,0.029594,-1.424451,0.229425,-0.102274
23,0.191667,0.023009,-0.999286,0.004492,0.029630,-1.424457,0.229420,-0.102287
24,0.200000,0.023023,-0.999286,0.004423,0.029614,-1.424474,0.229435,-0.102290
25,0.208333,0.022968,-0.999288,0.004395,0.029624,-1.424457,0.229430,-0.102290
26,0.216667,0.023001,-0.999288,0.004428,0.029584,-1.424453,0.229427,-0.102287
27,0.225000,0.022958,-0.999288,0.004368,0.029609,-1.424444,0.229433,-0.102299
28,0.233333,0.022998,-0.999288,0.004388,0.029581,-1.424460,0.229427,-0.102293
29,0.241667,0.022917,-0.999289,0.004442,0.029596,-1.424439,0.229408,-0.102295
30,0.250000,0.022954,-0.999289,0.004489,0.029572,-1.424451,0.229414,-0.102279
31,0.258333,0.022927,-0.999291,0.004443,0.029545,-1.424445,0.229417,-0.102270
32,0.266667,0.022999,-0.999289,0.004445,0.029538,-1.424461,0.229413,-0.102252
33,0.275000,0.022938,-0.999288,0.004568,0.029594,-1.424453,0.229409,-0.102267
34,0.283333,0.022981,-0.999289,0.004467,0.029571,-1.424430,0.229424,-0.102278
35,0.291667,0.022994,-0.999288,0.004445,0.029590,-1.424459,0.229427,-0.102265
36,0.300000,0.022967,-0.999288,0.004458,0.029605,-1.424455,0.229420,-0.102271
37,0.308333,0.023080,-0.999285,0.004445,0.029609,-1.424451,0.229417,-0.102288
38,0.316667,0.023012,-0.999288,0.004407,0.029576,-1.424451,0.229423,-0.102270
39,0.325000,0.022819,-0.999296,0.004829,0.029376,-1.424451,0.229371,-0.102199
40,0.333333,0.022945,-0.999290,0.004422,0.029569,-1.424440,0.229421,-0.102295
41,0.341667,0.022957,-0.999289,0.004466,0.029567,-1.424446,0.229416,-0.102285
42,0.350000,0.022947,-0.999289,0.004448,0.029572,-1.424444,0.229409,-0.102290
43,0.358333,0.022928,-0.999290,0.004451,0.029557,-1.424451,0.229406,-0.102272
44,0.366667,,,,,,,
45,0.375000,0.022971,-0.999287,0.004540,0.029604,-1.424456,0.229398,-0.102270
46,0.383333,0.023026,-0.999288,0.004527,0.029552,-1.424453,0.229406,-0.102281
47,0.391667,0.023027,-0.999286,0.004475,0.029609,-1.424453,0.229411,-0.102272
48,0.400000,0.023052,-0.999286,0.004445,0.029593,-1.424462,0.229428,-0.102275
49,0.408333,0.023010,-0.999288,0.004379,0.029578,-1.424447,0.229426,-0.102275
50,0.416667,0.023004,-0.999289,0.004380,0.029558,-1.424457,0.229421,-0.102274
51,0.425000,0.023013,-0.999288,0.004419,0.029571,-1.424439,0.229427,-0.102284
52,0.433333,0.022997,-0.999289,0.004375,0.029573,-1.424445,0.229425,-0.102298
53,0.441667,0.022980,-0.999289,0.004453,0.029544,-1.424436,0.229410,-0.102300
54,0.450000,0.022939,-0.999289,0.004460,0.029576,-1.424441,0.229399,-0.102266
55,0.458333,0.023021,-0.999289,0.004638,0.029508,-1.424445,0.229408,-0.102258
56,0.466667,0.022957,-0.999287,0.004460,0.029625,-1.424445,0.229417,-0.102273
57,0.475000,0.022981,-0.999288,0.004540,0.029561,-1.424440,0.229402,-0.102272
58,0.483333,0.023065,-0.999287,0.004612,0.029520,-1.424453,0.229429,-0.102251
59,0.491667,0.023089,-0.999285,0.004687,0.029553,-1.424450,0.229425,-0.102259
60,0.500000,0.022982,-0.999288,0.004462,0.029582,-1.424455,0.229426,-0.102276
61,0.508333,0.023012,-0.999286,0.004481,0.029628,-1.424442,0.229412,-0.102282
62,0.516667,0.023011,-0.999286,0.004378,0.029628,-1.424451,0.229424,-0.102285
63,0.525000,0.023028,-0.999288,0.004355,0.029558,-1.424457,0.229427,-0.102280
64,0.533333,0.022927,-0.999290,0.004414,0.029564,-1.424443,0.229419,-0.102286
65,0.541667,0.022987,-0.999290,0.004426,0.029536,-1.424436,0.229412,-0.102273
66,0.550000,0.022934,-0.999290,0.004454,0.029557,-1.424442,0.229416,-0.102260
67,0.558333,0.023035,-0.999288,0.004624,0.029527,-1.424447,0.229419,-0.102258
68,0.566667,0.023049,-0.999288,0.004700,0.029491,-1.424471,0.229410,-0.102245
69,0.575000,0.022935,-0.999288,0.004514,0.029618,-1.424444,0.229415,-0.102281
70,0.583333,0.023053,-0.999285,0.004558,0.029602,-1.424452,0.229419,-0.102275
71,0.591667,0.023022,-0.999286,0.004484,0.029627,-1.424456,0.229420,-0.102256
72,0.600000,0.022990,-0.999288,0.004448,0.029594,-1.424456,0.229424,-0.102268
73,0.608333,0.023068,-0.999286,0.004459,0.029592,-1.424448,0.229425,-0.102283
74,0.616667,0.022961,-0.999288,0.004413,0.029621,-1.424441,0.229411,-0.102295
75,0.625000,0.022961,-0.999289,0.004377,0.029586,-1.424443,0.229433,-0.102284
76,0.633333,0.022997,-0.999290,0.004391,0.029507,-1.424471,0.229425,-0.102292
77,0.641667,-0.022909,0.999291,-0.004416,-0.029567,-1.424443,0.229419,-0.102272
78,0.650000,,,,,,,
79,0.658333,-0.022939,0.999289,-0.004440,-0.029584,-1.424446,0.229406,-0.102277
80,0.666667,-0.023048,0.999287,-0.004757,-0.029509,-1.424465,0.229421,-0.102258
81,0.675000,-0.022795,0.999294,-0.004940,-0.029455,-1.424449,0.229367,-0.102205
82,0.683333,-0.023005,0.999286,-0.004488,-0.029624,-1.424459,0.229428,-0.102259
83,0.691667,-0.022983,0.999288,-0.004439,-0.029590,-1.424452,0.229429,-0.102280
84,0.700000,-0.023006,0.999286,-0.004422,-0.029633,-1.424461,0.229419,-0.102285
85,0.708333,-0.023022,0.999286,-0.004412,-0.029622,-1.424456,0.229425,-0.102287
86,0.716667,-0.022951,0.999289,-0.004405,-0.029579,-1.424458,0.229437,-0.102272
87,0.725000,-0.022959,0.999289,-0.004446,-0.029563,-1.424445,0.229432,-0.102276
88,0.733333,-0.023021,0.999288,-0.004404,-0.029579,-1.424463,0.229437,-0.102290
89,0.741667,-0.022956,0.999289,-0.004430,-0.029573,-1.424437,0.229440,-0.102280
90,0.750000,-0.022960,0.999289,-0.004479,-0.029571,-1.424442,0.229406,-0.102270
91,0.758333,-0.022901,0.999291,-0.004455,-0.029566,-1.424440,0.229415,-0.102275
92,0.766667,,,,,,,
93,0.775000,,,,,,,
94,0.783333,-0.023004,0.999287,-0.004511,-0.029598,-1.424453,0.229417,-0.102261
95,0.791667,-0.023011,0.999286,-0.004481,-0.029615,-1.424456,0.229432,-0.102296
