                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 30.173,                      0,                      0,                      0,                      0,                      0,                      0,                 24.631,                      0,                      0,                      0,                      0
                      2,                      0,                  30.23,                      0,                      0,                      0,                      0,                      0,                      0,                 24.648,                      0,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                      0,                 30.176,                      0,                      0,                      0,                      0,                      0,                      0,                 24.668,                      0,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                      0,                 29.847,                      0,                      0,                      0,                      0,                      0,                      0,                 24.686,                      0,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                      0,                 29.715,                      0,                      0,                      0,                      0,                      0,                      0,                 24.705,                      0,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                      0,                 29.438,                      0,                      0,                      0,                      0,                      0,                      0,                 24.721,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                      0,                 29.319,                      0,                      0,                      0,                      0,                      0,                      0,                 24.731,                      0,             0.00010574,             0.00010574,             0.00010574
                      8,                      0,                 29.167,                      0,                      0,                      0,                      0,                      0,                      0,                 24.746,                      0,              0.0001206,              0.0001206,              0.0001206
                      9,                      0,                 29.056,                      0,                      0,                      0,                      0,                      0,                      0,                 24.746,                      0,             0.00013466,             0.00013466,             0.00013466
                     10,                      0,                 29.016,                      0,                      0,                      0,                      0,                      0,                      0,                 24.772,                      0,             0.00014792,             0.00014792,             0.00014792
                     11,                      0,                 28.807,                      0,                      0,                      0,                      0,                      0,                      0,                 24.772,                      0,              0.0001604,              0.0001604,              0.0001604
                     12,                      0,                 28.815,                      0,                      0,                      0,                      0,                      0,                      0,                 24.805,                      0,             0.00017208,             0.00017208,             0.00017208
                     13,                      0,                  28.59,                      0,                      0,                      0,                      0,                      0,                      0,                 24.805,                      0,             0.00018298,             0.00018298,             0.00018298
                     14,                      0,                 28.614,                      0,                      0,                      0,                      0,                      0,                      0,                 24.843,                      0,             0.00019308,             0.00019308,             0.00019308
                     15,                      0,                 28.325,                      0,                      0,                      0,                      0,                      0,                      0,                 24.843,                      0,             0.00020238,             0.00020238,             0.00020238
                     16,                      0,                 28.401,                      0,                      0,                      0,                      0,                      0,                      0,                 24.885,                      0,              0.0002109,              0.0002109,              0.0002109
                     17,                      0,                 28.116,                      0,                      0,                      0,                      0,                      0,                      0,                 24.885,                      0,             0.00021862,             0.00021862,             0.00021862
                     18,                      0,                 28.122,                      0,                      0,                      0,                      0,                      0,                      0,                 24.931,                      0,             0.00022556,             0.00022556,             0.00022556
                     19,                      0,                 27.876,                      0,                      0,                      0,                      0,                      0,                      0,                 24.931,                      0,              0.0002317,              0.0002317,              0.0002317
                     20,                      0,                 27.823,                      0,                      0,                      0,                      0,                      0,                      0,                  24.97,                      0,             0.00023704,             0.00023704,             0.00023704
                     21,                      0,                 27.481,                      0,                      0,                      0,                      0,                      0,                      0,                  24.97,                      0,              0.0002416,              0.0002416,              0.0002416
                     22,                      0,                 27.657,                      0,                      0,                      0,                      0,                      0,                      0,                 24.996,                      0,             0.00024536,             0.00024536,             0.00024536
                     23,                      0,                 27.121,                      0,                      0,                      0,                      0,                      0,                      0,                 24.996,                      0,             0.00024834,             0.00024834,             0.00024834
                     24,                      0,                 27.119,                      0,                      0,                      0,                      0,                      0,                      0,                 24.996,                      0,             0.00025052,             0.00025052,             0.00025052
                     25,                      0,                 27.073,                      0,                      0,                      0,                      0,                      0,                      0,                 24.985,                      0,              0.0002519,              0.0002519,              0.0002519
                     26,                      0,                  26.55,                      0,                      0,                      0,                      0,                      0,                      0,                 24.985,                      0,              0.0002525,              0.0002525,              0.0002525
                     27,                      0,                  26.56,                      0,                      0,                      0,                      0,                      0,                      0,                 24.985,                      0,              0.0002523,              0.0002523,              0.0002523
                     28,                      0,                 26.648,                      0,                      0,                      0,                      0,                      0,                      0,                 24.939,                      0,             0.00025132,             0.00025132,             0.00025132
                     29,                      0,                 26.097,                      0,                      0,                      0,                      0,                      0,                      0,                 24.939,                      0,             0.00024954,             0.00024954,             0.00024954
                     30,                      0,                 26.174,                      0,                      0,                      0,                      0,                      0,                      0,                 24.939,                      0,             0.00024696,             0.00024696,             0.00024696
                     31,                      0,                 26.089,                      0,                      0,                      0,                      0,                      0,                      0,                 24.866,                      0,              0.0002436,              0.0002436,              0.0002436
                     32,                      0,                 25.599,                      0,                      0,                      0,                      0,                      0,                      0,                 24.866,                      0,             0.00023944,             0.00023944,             0.00023944
                     33,                      0,                 25.614,                      0,                      0,                      0,                      0,                      0,                      0,                 24.866,                      0,              0.0002345,              0.0002345,              0.0002345
                     34,                      0,                 25.612,                      0,                      0,                      0,                      0,                      0,                      0,                 24.739,                      0,             0.00022876,             0.00022876,             0.00022876
                     35,                      0,                 25.399,                      0,                      0,                      0,                      0,                      0,                      0,                 24.739,                      0,             0.00022222,             0.00022222,             0.00022222
                     36,                      0,                 25.149,                      0,                      0,                      0,                      0,                      0,                      0,                 24.739,                      0,              0.0002149,              0.0002149,              0.0002149
                     37,                      0,                 25.139,                      0,                      0,                      0,                      0,                      0,                      0,                 24.739,                      0,             0.00020678,             0.00020678,             0.00020678
                     38,                      0,                 25.131,                      0,                      0,                      0,                      0,                      0,                      0,                  24.58,                      0,             0.00019788,             0.00019788,             0.00019788
                     39,                      0,                  24.87,                      0,                      0,                      0,                      0,                      0,                      0,                  24.58,                      0,             0.00018818,             0.00018818,             0.00018818
                     40,                      0,                 24.695,                      0,                      0,                      0,                      0,                      0,                      0,                  24.58,                      0,             0.00017768,             0.00017768,             0.00017768
                     41,                      0,                 24.666,                      0,                      0,                      0,                      0,                      0,                      0,                  24.58,                      0,              0.0001664,              0.0001664,              0.0001664
                     42,                      0,                 24.652,                      0,                      0,                      0,                      0,                      0,                      0,                 24.381,                      0,             0.00015432,             0.00015432,             0.00015432
                     43,                      0,                 24.282,                      0,                      0,                      0,                      0,                      0,                      0,                 24.381,                      0,             0.00014146,             0.00014146,             0.00014146
                     44,                      0,                 24.358,                      0,                      0,                      0,                      0,                      0,                      0,                 24.381,                      0,              0.0001278,              0.0001278,              0.0001278
                     45,                      0,                 24.309,                      0,                      0,                      0,                      0,                      0,                      0,                 24.381,                      0,             0.00011334,             0.00011334,             0.00011334
                     46,                      0,                  24.26,                      0,                      0,                      0,                      0,                      0,                      0,                 24.168,                      0,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                      0,                 24.048,                      0,                      0,                      0,                      0,                      0,                      0,                 24.168,                      0,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                      0,                 24.053,                      0,                      0,                      0,                      0,                      0,                      0,                 24.168,                      0,             6.5236e-05,             6.5236e-05,             6.5236e-05
